대중교통,역(정류장),호선명,노선(수),x_좌표,y_좌표,지하철_여부,버스_여부,따릉이_여부,동_이름,GID,NODE_ID,주소,도로명,버스정류장ARS번호,총승차인원,총하차인원
버스,뉴타운아파트,,7,127.026968,37.564877,N,Y,N,하왕십리동,11200102,103000509.0,서울 성동구 하왕십리동 873-1,-,4105.0,6295.0,13021.0
버스,답십리역사거리,,5,127.0543962,37.56544961,N,Y,N,용답동,11200122,103000001.0,서울 성동구 용답동 127,서울특별시 성동구 용답길 86 (용답동),4001.0,39186.0,52229.0
버스,대경생활과학고등학교,,1,127.017537,37.55597143,N,Y,N,금호동2가,11200110,103900026.0,서울 성동구 금호동2가 산 9-1,서울특별시 성동구 금호산15길 15 (금호동2가),4514.0,978.0,10.0
버스,대경생활과학고등학교,,1,127.0175178,37.55606875,N,Y,N,금호동2가,11200110,103900106.0,서울 성동구 금호동2가 산 9-1,서울특별시 성동구 금호산15길 15 (금호동2가),4691.0,15.0,5252.0
버스,대림강변타운아파트A상가,,1,127.035718,37.55479,N,Y,N,응봉동,11200108,103900273.0,서울 성동구 응봉동 15-2,-,4888.0,1046.0,921.0
버스,대림상가,,2,127.034468,37.55388,N,Y,N,응봉동,11200108,103900127.0,서울 성동구 응봉동 10-115,-,4701.0,2011.0,7896.0
버스,대림아파트,,1,127.024926,37.55657383,N,Y,N,행당동,11200107,103000175.0,서울 성동구 행당동 347-2,서울특별시 성동구 난계로 56 (행당동),4278.0,5533.0,7041.0
버스,대림아파트후문,,4,127.0269327,37.5561715,N,Y,N,행당동,11200107,103900108.0,서울 성동구 행당동 317-10,-,4698.0,1561.0,7052.0
버스,대우아파트관리실,,2,127.019985,37.546215,N,Y,N,금호동4가,11200112,103900142.0,서울 성동구 금호동4가 800,서울특별시 성동구 독서당로 270 (금호동4가),4502.0,3936.0,3156.0
버스,대우아파트입구,,2,127.0191632,37.54598344,N,Y,N,금호동4가,11200112,103900144.0,서울 성동구 금호동4가 800,서울특별시 성동구 독서당로 270 (금호동4가),4572.0,1148.0,2609.0
버스,대우아파트후문,,2,127.0216589,37.54693907,N,Y,N,금호동4가,11200112,103900143.0,서울 성동구 금호동4가 800,서울특별시 성동구 독서당로 270 (금호동4가),4507.0,2283.0,601.0
버스,대현산배수지공원앞,,1,127.0220575,37.55517771,N,Y,N,금호동1가,11200109,103900195.0,서울 성동구 금호동1가 127-2,서울특별시 성동구 행당로 15 (금호동1가),4828.0,113.0,1173.0
버스,대현산배수지공원입구,,3,127.0200974,37.55627838,N,Y,N,금호동1가,11200109,103000044.0,서울 성동구 금호동1가 101,서울특별시 성동구 금호로 166-1 (금호동1가),4143.0,5219.0,4171.0
버스,대현산체육관입구,,1,127.0297135,37.55296294,N,Y,N,응봉동,11200108,103900107.0,서울 성동구 응봉동 265-105,서울특별시 성동구 독서당로59다길 43 (응봉동),4696.0,2493.0,2973.0
버스,대현산체육관입구,,1,127.029853,37.55308,N,Y,N,응봉동,11200108,103900122.0,서울 성동구 응봉동 264-5,-,4567.0,1762.0,4072.0
버스,도선고등학교.꽃재교회,,3,127.027782,37.567093,N,Y,N,하왕십리동,11200102,103000150.0,서울 성동구 하왕십리동 548-3,-,4252.0,3264.0,1359.0
버스,도선동사거리,,3,127.0365327,37.56676758,N,Y,N,마장동,11200105,103900098.0,서울 성동구 마장동 474-28,서울특별시 성동구 고산자로 340-1 (마장동),4668.0,3998.0,1774.0
버스,도선사거리,,7,127.036955,37.567023,N,Y,N,마장동,11200105,103000022.0,서울 성동구 마장동 518-14,서울특별시 성동구 고산자로 308 (마장동),4121.0,15393.0,15260.0
버스,도선사거리,,7,127.036487,37.566648,N,Y,N,마장동,11200105,103000023.0,서울 성동구 마장동 573-1,서울특별시 성동구 고산자로 301 (마장동),4122.0,14202.0,32377.0
버스,동대문구청.용두역4번출구,,3,127.039718,37.573438,N,Y,N,용답동,11200122,105000074.0,서울 동대문구 용두동 34-1,서울특별시 동대문구 청계천로 563 (용두동),6160.0,16890.0,13845.0
