정류장_이름,x_좌표,y_좌표
삼성래미안아파트,127.0402755817,37.565494021
금북초등학교입구,127.0236161649,37.5556558853
대현산배수지공원앞,127.0220574589,37.5551777057
선영약국,127.030619,37.566775
텐즈힐아파트101동.115동,127.029276,37.56698
숭신초등학교.도선고등학교앞,127.0271676387,37.5673296859
왕십리도선동주민센터,127.0259157424,37.5677084261
텐즈힐아파트120동.213동앞,127.026001,37.569125
왕십리중앙교회,127.0265630048,37.5701547474
마장동현대아파트,127.043027,37.570169
청계장원아파트,127.044743,37.569336
마장2교사거리,127.045459,37.567977
마장2교사거리,127.0456033009,37.5681827453
청계장원아파트,127.0448455263,37.5693427411
옥수교회,127.016005,37.54524
텐즈힐아파트107동앞,127.0285144783,37.5695685824
응봉동현대아파트,127.0309380064,37.5498619578
논골.대림아파트107동.금호동벽산아파트,127.0249544273,37.5558963995
옥수역5.6번출구,127.017002,37.541854
서울숲푸르지오아파트,127.023747,37.545015
언더스탠드에비뉴,127.042776,37.543572
성동구민체육센터,127.044474,37.545138
경일중고등학교,127.049131,37.542316
이마트.서울숲힐스테이트아파트,127.052766,37.540475
서울숲코오롱디지털타워2차,127.05399,37.541411
서울경찰청제6기동단,127.054739,37.540076
한라시그마밸리앞,127.05532,37.539647
성수역3번출구,127.057104,37.543944
서울숲코오롱디지털타워2차,127.053848,37.541461
이마트.서울숲힐스테이트아파트,127.05257,37.540528
현대그린아파트,127.049622,37.540523
성수역3번출구,127.0566906693,37.5435598293
경일중고등학교,127.04921,37.542503
한라시그마밸리,127.0551786364,37.5399060735
서울경찰청제6기동단,127.054772,37.540228
서울숲역,127.045146,37.543869
성동구민종합체육센터,127.044515,37.54527
서울숲2번출입구,127.04255,37.543527
서울숲9번출입구,127.037555,37.543638
옥수역4번출구,127.0176124993,37.5418118508
성수대교북단교차로,127.035516,37.544291
마장역,127.0426522462,37.5661140833
마장역,127.0423947542,37.5656474129
옥정초등학교,127.015419565,37.5408892401
e편한세상금호109동,127.021876,37.553483
왕십리자이아파트107동,127.0259692914,37.5597128375
왕십리KCC스위첸아파트,127.026824,37.560369
