GID,위도,경도,생활인구수,가까운 지하철역,지하철역까지거리(m)
다사506454,37.507006,126.9416295,0,장승배기,332.45
다사481442,37.49605308,126.9134292,474,보라매공원,412.09
다사497442,37.49614156,126.9315289,368,신대방삼거리,493.33
다사482439,37.49335473,126.9145816,507,보라매공원,398.54
다사492441,37.49521289,126.9258797,433,보라매병원,309.15
다사517441,37.49534694,126.9541603,56,숭실대입구,110.89
다사541439,37.49366661,126.9813223,17,총신대입구,759.36
다사514441,37.49533122,126.9507666,454,숭실대입구,274.38
다사534421,37.47740762,126.9735177,476,사당,722.48
다사481436,37.49064516,126.9134715,0,신대방,346.36
다사496440,37.49433347,126.9304114,405,당곡,519
다사539434,37.48915,126.9790911,700,총신대입구,373.23
다사489444,37.49790031,126.9224652,67,보라매,305.5
다사504457,37.50969925,126.9393465,208,장승배기,540.51
다사518445,37.49895747,126.9552653,454,숭실대입구,332.31
다사492455,37.50783138,126.925783,474,서울지방병무청,362.02
다사508457,37.50972064,126.9438723,275,노량진,463.82
다사501444,37.4979659,126.9360403,384,신대방삼거리,717.01
다사529432,37.48729693,126.9677926,242,남성,411.98
다사495462,37.51415708,126.9291292,458,샛강,290.52
다사523446,37.49988475,126.9609152,296,숭실대입구,757.32
다사509449,37.50251538,126.9450571,254,상도,256.93
다사512455,37.50793922,126.9484113,185,상도,574.02
다사542443,37.49727689,126.9824286,315,구반포,638.93
다사505454,37.50700065,126.9404981,249,장승배기,272.65
다사480437,37.49154086,126.9123333,522,신대방,453.29
다사531452,37.50533367,126.9699274,9,흑석,702.82
다사516454,37.50705894,126.9529435,353,노들,627.37
다사474432,37.4870003,126.9055821,110,구로디지털단지,465.06
다사520456,37.50888246,126.9574561,206,흑석,531.38
다사524438,37.49267928,126.9620982,539,숭실대입구,844.98
다사508449,37.50251006,126.9439258,313,상도,356.26
다사515455,37.50795502,126.9518056,180,노들,541.68
다사524455,37.50800184,126.9619883,142,흑석,175.13
다사501457,37.50968309,126.9359522,104,장승배기,602.39
다사527432,37.48728671,126.9655303,436,남성,570.7
다사515443,37.49713912,126.9518846,269,숭실대입구,183.92
다사498453,37.50606155,126.9325852,146,장승배기,583.94
다사503462,37.51420048,126.9381813,452,노량진,587.39
다사483442,37.49606429,126.9156917,284,보라매공원,215.25
다사523452,37.5052927,126.9608763,0,흑석,476.05
다사498447,37.50065362,126.9326261,71,신대방삼거리,402.57
다사502438,37.49256335,126.9372122,0,당곡,889.56
다사530430,37.48549936,126.9689364,168,남성,211.79
다사490441,37.49520187,126.9236172,211,보라매병원,246.7
다사507453,37.50611002,126.9427676,525,장승배기,358.85
다사511459,37.51153922,126.9472533,363,노량진,332.26
다사508448,37.50160873,126.9439324,466,상도,377.88
다사501460,37.51238705,126.9359318,177,샛강,787.67
다사491453,37.50602324,126.9246655,193,서울지방병무청,184.83
다사492456,37.5087327,126.9257761,492,대방,427.71
다사490442,37.49610319,126.9236103,346,보라매병원,346.83
다사498450,37.50335758,126.9326056,348,신대방삼거리,560.07
다사514445,37.49893652,126.9507402,203,숭실대입구,393.14
다사523457,37.50979933,126.9608439,484,흑석,246.97
다사492438,37.49250892,126.9259004,193,보라매병원,194.48
다사513463,37.51515508,126.9494898,48,노들,427.19
다사542440,37.4945729,126.9824472,100,총신대입구,856.47
다사499446,37.49975772,126.9337642,317,신대방삼거리,489.29
다사527454,37.50711592,126.965389,116,흑석,272.78
다사528453,37.50621971,126.9665268,341,흑석,413.52
다사499450,37.50336301,126.933737,308,장승배기,494.72
다사481435,37.48974384,126.9134786,252,신대방,246.35
다사493445,37.49882367,126.9269833,811,신대방삼거리,147.42
다사528430,37.48548917,126.9666743,116,남성,401.22
다사509446,37.49981141,126.9450771,278,상도,416.99
다사502455,37.50788584,126.9370972,11,장승배기,378.48
다사526433,37.48818292,126.9643928,180,남성,708.58
다사502445,37.49887262,126.9371648,151,장승배기,684.07
다사534451,37.50444752,126.9733279,20,동작,611.53
다사502450,37.50337923,126.937131,0,장승배기,233.41
다사504455,37.5078966,126.93936,6,장승배기,340.61
다사524441,37.49538327,126.9620789,6,숭실대입구,750.03
다사529452,37.50532349,126.9676646,0,흑석,554.61
다사530453,37.50622991,126.9687896,107,흑석,563.48
다사539423,37.47923535,126.97916,380,사당,371
다사517440,37.49444562,126.9541668,235,숭실대입구,206.64
다사509444,37.49800876,126.9450904,412,상도,588.42
다사497455,37.50785875,126.9314401,81,대방,686.98
다사533435,37.49002121,126.972298,448,남성,602.25
다사495460,37.51235444,126.929143,792,대방,245.37
다사496442,37.49613612,126.9303977,401,신대방삼거리,442.18
다사494441,37.49522386,126.9281421,285,보라매병원,458.22
다사499453,37.50606698,126.9337165,161,장승배기,487.58
다사477434,37.48881997,126.9089611,419,신대방,406.92
다사493446,37.49972499,126.9269765,496,신대방삼거리,109.53
다사507445,37.49889943,126.9428212,382,상도,625.92
다사516446,37.49984834,126.9529962,336,숭실대입구,403.36
다사512440,37.49441935,126.9485108,249,숭실대입구,497.28
다사490443,37.49700451,126.9236034,658,보라매,446.85
다사492440,37.49431157,126.9258866,326,보라매병원,237.14
다사539440,37.49455798,126.9790536,309,총신대입구,898.46
