대중교통,역(정류장),호선(명),노선(수),지하철 여부(Y/N),버스 여부(Y/N),따릉이 여부(Y/N),x_좌표,y_좌표,동 이름,GID,대여소번호,NODE_ID,ARS_ID,지번_주소,도로명_주소,일평균승차승객수,일평균하차승객수,일평균총승객수,월승차승객수,월하차승객수,월이용객수
버스,동작우체국,,1,N,Y,N,126.9238815,37.49781023,신대방동,11590109,,119900155,20828,서울 동작구 신대방동 349-35,,8.7,9.4,18.1,261,1875,543
버스,코오롱하늘채아파트,,3,N,Y,N,126.9240091,37.49917007,대방동,11590108,,119900163,20818,서울 동작구 대방동 411-5,"서울특별시 동작구 여의대방로24마길 13 (대방동, 팰리스타운)",16.37,16.71,33.08,1473,1875,2977
버스,범한택시,,3,N,Y,N,126.9240184,37.50006127,대방동,11590108,,119900116,20880,서울 동작구 대방동 397-1,,10.84,54.82,65.67,976,1875,5910
버스,영동슈퍼,,3,N,Y,N,126.9241105,37.50286916,대방동,11590108,,119900119,20876,서울 동작구 대방동 466-10,,31.12,29.3,60.42,2801,1875,5438
버스,홍원사,,3,N,Y,N,126.9241422,37.5039451,대방동,11590108,,119900268,20873,서울 동작구 대방동 380-1,서울특별시 동작구 대방동23길 21 (대방동),16.14,17.62,33.77,1453,1875,3039
버스,아카데미타워,,1,N,Y,N,126.9244164,37.49121269,신대방동,11590109,,119900084,20919,서울 동작구 신대방동 395-69,"서울특별시 동작구 보라매로5가길 16 (신대방동, 보라매아카데미타워)",131.8,73.03,204.83,3954,1875,6145
버스,서울특별시.보라매병원,,2,N,Y,N,126.924482,37.492755,신대방동,11590109,,119000123,20217,서울 동작구 신대방동 395-61,서울특별시 동작구 보라매로5길 지하24 (신대방동),363.73,188.23,551.97,21824,1875,33118
버스,동작우체국,,2,N,Y,N,126.9245071,37.49772953,신대방동,11590109,,119900095,20907,서울 동작구 신대방동 361-57,서울특별시 동작구 여의대방로22길 80 (신대방동),43.4,16.72,60.12,2604,1875,3607
버스,공군호텔,,13,N,Y,N,126.9245411,37.51001067,대방동,11590108,,119000021,20107,서울 동작구 대방동 356-2,,195.3,122.47,317.76,74603,1875,121386
버스,해태타워앞,,1,N,Y,N,126.9246607,37.4910939,신대방동,11590109,,119900191,20728,서울 동작구 신대방동 708,"서울특별시 동작구 보라매로3길 29 (신대방동, 해태보라매타워)",52.27,36.17,88.43,1568,1875,2653
버스,대림아파트후문.성남중.고교,,3,N,Y,N,126.9248146,37.50567475,대방동,11590108,,119900030,20569,서울 동작구 대방동 375-39,서울특별시 동작구 여의대방로36길 32 (대방동),49.04,51.98,101.02,4414,1875,9092
버스,전문건설회관.보라매병원,,1,N,Y,N,126.924958,37.49235924,신대방동,11590109,,119900272,20748,서울 동작구 신대방동 706,"서울특별시 동작구 보라매로5길 5 (신대방동, 보라매우성아파트)",28,31.4,59.4,840,1875,1782
버스,대림아파트후문.성남중.고교,,3,N,Y,N,126.924992,37.50586589,대방동,11590108,,119900128,20865,서울 동작구 대방동 466-56,,40.61,89.92,130.53,3655,1875,11748
