GID,위도,경도,생활인구수,반경150m_정류장수,반경300m_정류장수,반경400m_정류장수
다사535439,37.49363661,126.974535,119,0,1,4
다사505453,37.50609932,126.9405049,51,7,17,25
다사527431,37.48638538,126.9655368,490,2,14,20
다사511450,37.50342731,126.9473131,73,6,22,27
다사512451,37.50433392,126.9484378,415,6,18,31
다사509445,37.49891008,126.9450838,275,2,7,15
다사505460,37.51240858,126.9404578,148,2,9,15
다사506454,37.507006,126.9416295,0,4,14,21
다사481442,37.49605308,126.9134292,474,4,12,19
다사497442,37.49614156,126.9315289,368,6,15,24
다사482439,37.49335473,126.9145816,507,2,6,16
다사492441,37.49521289,126.9258797,433,1,5,12
다사517441,37.49534694,126.9541603,56,3,6,8
다사541439,37.49366661,126.9813223,17,5,7,11
다사514441,37.49533122,126.9507666,454,0,4,9
다사534421,37.47740762,126.9735177,476,0,2,4
다사481436,37.49064516,126.9134715,0,0,0,7
다사496440,37.49433347,126.9304114,405,0,11,22
다사539434,37.48915,126.9790911,700,0,5,13
다사489444,37.49790031,126.9224652,67,3,14,17
다사504457,37.50969925,126.9393465,208,2,5,7
다사518445,37.49895747,126.9552653,454,0,6,14
다사492455,37.50783138,126.925783,474,3,11,20
다사508457,37.50972064,126.9438723,275,3,10,15
다사501444,37.4979659,126.9360403,384,2,5,21
다사529432,37.48729693,126.9677926,242,3,14,20
다사495462,37.51415708,126.9291292,458,1,10,13
다사523446,37.49988475,126.9609152,296,6,10,14
다사509449,37.50251538,126.9450571,254,6,15,25
다사512455,37.50793922,126.9484113,185,5,16,24
다사542443,37.49727689,126.9824286,315,4,6,11
다사505454,37.50700065,126.9404981,249,5,13,26
다사480437,37.49154086,126.9123333,522,0,1,6
다사531452,37.50533367,126.9699274,9,1,4,8
다사516454,37.50705894,126.9529435,353,2,14,20
다사474432,37.4870003,126.9055821,110,2,8,15
다사520456,37.50888246,126.9574561,206,0,7,14
다사524438,37.49267928,126.9620982,539,1,5,9
다사508449,37.50251006,126.9439258,313,1,14,27
다사515455,37.50795502,126.9518056,180,5,12,23
다사524455,37.50800184,126.9619883,142,8,13,21
다사501457,37.50968309,126.9359522,104,0,0,12
다사527432,37.48728671,126.9655303,436,5,13,20
다사515443,37.49713912,126.9518846,269,1,9,10
다사498453,37.50606155,126.9325852,146,4,7,15
다사503462,37.51420048,126.9381813,452,2,8,12
다사483442,37.49606429,126.9156917,284,4,16,20
다사523452,37.5052927,126.9608763,0,3,13,21
다사498447,37.50065362,126.9326261,71,6,11,19
다사502438,37.49256335,126.9372122,0,1,10,22
다사530430,37.48549936,126.9689364,168,7,12,19
다사490441,37.49520187,126.9236172,211,0,4,11
다사507453,37.50611002,126.9427676,525,7,14,28
다사511459,37.51153922,126.9472533,363,0,7,19
다사508448,37.50160873,126.9439324,466,1,11,23
다사501460,37.51238705,126.9359318,177,5,7,14
다사491453,37.50602324,126.9246655,193,2,15,19
다사492456,37.5087327,126.9257761,492,3,10,20
다사490442,37.49610319,126.9236103,346,0,4,11
다사498450,37.50335758,126.9326056,348,0,7,17
다사514445,37.49893652,126.9507402,203,2,8,14
다사523457,37.50979933,126.9608439,484,1,12,15
다사492438,37.49250892,126.9259004,193,4,15,19
다사513463,37.51515508,126.9494898,48,0,4,10
다사542440,37.4945729,126.9824472,100,5,9,17
다사499446,37.49975772,126.9337642,317,3,12,19
다사527454,37.50711592,126.965389,116,5,9,17
다사528453,37.50621971,126.9665268,341,3,9,11
다사499450,37.50336301,126.933737,308,1,12,20
다사481435,37.48974384,126.9134786,252,0,3,12
다사493445,37.49882367,126.9269833,811,8,16,20
다사528430,37.48548917,126.9666743,116,4,12,18
다사509446,37.49981141,126.9450771,278,2,9,20
다사502455,37.50788584,126.9370972,11,0,5,13
다사526433,37.48818292,126.9643928,180,6,13,15
다사502445,37.49887262,126.9371648,151,0,5,16
다사534451,37.50444752,126.9733279,20,1,4,6
다사502450,37.50337923,126.937131,0,6,14,20
다사504455,37.5078966,126.93936,6,3,6,19
다사524441,37.49538327,126.9620789,6,2,4,7
다사529452,37.50532349,126.9676646,0,3,5,12
다사530453,37.50622991,126.9687896,107,2,6,11
다사539423,37.47923535,126.97916,380,0,7,9
다사517440,37.49444562,126.9541668,235,0,5,10
다사509444,37.49800876,126.9450904,412,2,7,10
다사497455,37.50785875,126.9314401,81,5,11,15
다사533435,37.49002121,126.972298,448,3,9,19
다사495460,37.51235444,126.929143,792,1,8,17
다사496442,37.49613612,126.9303977,401,2,13,25
다사494441,37.49522386,126.9281421,285,3,6,15
다사499453,37.50606698,126.9337165,161,4,8,18
다사477434,37.48881997,126.9089611,419,1,10,14
다사493446,37.49972499,126.9269765,496,4,13,21
다사507445,37.49889943,126.9428212,382,5,13,21
다사516446,37.49984834,126.9529962,336,3,8,13
다사512440,37.49441935,126.9485108,249,0,6,12
다사490443,37.49700451,126.9236034,658,3,5,17
다사492440,37.49431157,126.9258866,326,3,7,11
다사539440,37.49455798,126.9790536,309,1,3,7
다사518437,37.49174686,126.9553177,92,7,11,14
다사498441,37.49524568,126.932667,407,6,16,30
다사501459,37.51148573,126.9359386,104,2,5,14
다사535436,37.49093262,126.974554,583,4,8,16
다사530436,37.49090733,126.9688981,135,0,5,9
다사502446,37.49977394,126.9371581,143,0,3,15
다사497439,37.4934376,126.9315494,326,0,11,24
다사523448,37.5016874,126.9609023,110,4,11,13
다사478433,37.4879243,126.9100993,287,2,12,18
다사489446,37.49970295,126.9224513,123,4,15,21
다사518454,37.5070694,126.9552064,20,0,10,19
다사524432,37.48727131,126.962137,11,0,12,20
다사490445,37.49880716,126.9235895,401,5,11,20
다사526435,37.48998558,126.9643799,357,2,12,14
다사496446,37.4997414,126.9303703,167,4,15,26
다사527453,37.5062146,126.9653954,281,4,9,15
다사496459,37.51145858,126.9302813,58,0,9,18
다사524436,37.49087663,126.9621112,334,0,7,10
다사539420,37.47653135,126.9791787,0,1,9,18
다사536432,37.48733233,126.9757103,259,5,10,18
다사531451,37.50443234,126.9699338,0,0,4,6
다사513460,37.51245111,126.9495096,0,4,13,16
다사495447,37.50063727,126.9292322,334,2,15,23
다사505452,37.505198,126.9405116,27,8,17,25
다사511457,37.50973658,126.9472666,639,0,9,21
다사498439,37.49344303,126.9326806,362,4,19,28
다사532452,37.50533874,126.9710588,10,2,6,6
다사520440,37.49446125,126.9575605,322,2,5,14
다사509451,37.50431803,126.9450437,341,6,18,32
다사500454,37.50697372,126.9348411,125,0,8,13
다사525434,37.48907912,126.9632552,350,5,10,14
다사493444,37.49792235,126.9269902,253,3,14,22
다사507458,37.51061663,126.9427341,116,0,8,19
다사506457,37.50970997,126.9416094,207,1,10,17
다사524448,37.50169256,126.9620336,53,0,11,14
다사509452,37.50521935,126.9450371,33,7,16,39
다사501458,37.51058441,126.9359454,99,0,5,13
다사516456,37.50886159,126.9529304,44,4,13,19
다사512449,37.50253127,126.9484511,118,5,16,23
다사491449,37.50241796,126.9246931,391,2,10,22
다사522451,37.50438621,126.9597515,307,1,9,18
다사541431,37.48645596,126.9813721,31,4,14,19
다사491456,37.5087272,126.9246447,733,5,12,21
다사541433,37.48825862,126.9813596,114,4,7,17
다사476433,37.48791298,126.9078371,365,3,9,16
다사531438,37.49271507,126.9700166,8,1,3,6
다사509456,37.50882464,126.9450104,407,4,12,17
다사516452,37.50525629,126.9529567,168,4,10,17
다사525447,37.50079638,126.9631714,156,3,8,13
다사494460,37.51234896,126.9280115,306,4,9,21
다사492443,37.49701553,126.9258659,408,1,9,20
다사506462,37.51421658,126.9415758,11,2,11,13
다사508456,37.50881932,126.943879,35,2,10,22
다사478435,37.48972694,126.9100852,227,0,8,12
다사496445,37.49884008,126.9303772,232,5,19,26
다사489441,37.49519635,126.922486,144,0,2,12
다사492454,37.50693006,126.9257899,276,2,7,19
다사521443,37.49717042,126.9586722,0,2,6,11
다사535424,37.48011665,126.9746297,314,0,0,2
다사496443,37.49703744,126.9303909,397,5,16,29
다사533431,37.48641589,126.9723233,448,2,15,26
다사529454,37.50712614,126.9676518,294,3,8,11
다사477431,37.48611601,126.9089824,138,2,9,23
다사498443,37.49704833,126.9326534,429,3,16,26
다사475433,37.48790731,126.906706,501,3,11,15
다사478438,37.4924309,126.9100639,310,1,4,10
다사515453,37.50615237,126.9518187,264,3,15,22
다사513447,37.5007339,126.9495957,125,2,5,18
다사542442,37.49637556,126.9824348,109,3,8,14
다사476436,37.49061694,126.9078158,7,4,8,10
다사511458,37.5106379,126.9472599,260,0,5,20
다사479432,37.48702862,126.9112375,55,5,12,20
다사501441,37.49526193,126.9360607,383,7,21,31
다사531433,37.48820842,126.9700484,459,0,6,19
다사531435,37.49001108,126.9700357,280,2,7,10
다사541425,37.48104797,126.9814095,82,1,6,8
다사499460,37.51237622,126.9336689,211,4,11,13
다사507456,37.50881399,126.9427475,0,2,11,21
다사506450,37.50340071,126.9416564,626,0,13,24
다사504460,37.51240321,126.9393263,34,4,10,12
다사511448,37.50162466,126.9473264,281,6,13,21
다사512456,37.50884054,126.9484047,439,2,13,24
다사519439,37.49355472,126.9564358,173,0,9,16
다사493448,37.50152763,126.9269627,392,2,8,18
다사502441,37.49526732,126.9371919,415,5,18,27
다사502449,37.50247791,126.9371378,30,3,12,21
다사534428,37.48371694,126.9734734,70,5,12,19
다사518448,37.50166145,126.9552457,200,1,6,10
다사518455,37.50797072,126.9551998,42,1,7,18
다사498449,37.50245626,126.9326124,283,3,9,17
다사501442,37.49616325,126.9360539,296,4,16,30
다사519441,37.49535738,126.9564227,81,2,5,11
다사539437,37.49185399,126.9790724,209,0,3,10
다사533452,37.5053438,126.9721901,0,3,4,6
다사517449,37.50255755,126.9541078,292,2,9,10
다사533432,37.48731722,126.972317,171,4,13,24
다사490452,37.5051164,126.923541,292,4,16,22
다사537429,37.48463335,126.9768603,33,5,15,22
다사519455,37.50797594,126.9563312,194,0,8,13
다사506459,37.51151261,126.941596,229,0,9,17
다사511454,37.50703261,126.9472865,773,7,14,30
다사517455,37.5079655,126.9540684,66,1,8,22
다사530426,37.48189403,126.968962,64,0,5,13
다사528454,37.50712104,126.9665204,131,6,8,10
다사540432,37.48735232,126.9802348,130,0,7,17
다사534422,37.47830896,126.9735114,473,0,2,3
다사508462,37.51422726,126.9438388,0,4,9,13
다사533426,37.48190924,126.972355,180,0,6,10
다사534433,37.4882236,126.9734418,450,3,16,22
다사503447,37.50068065,126.9382826,319,0,8,14
다사492449,37.50242346,126.9258245,436,2,8,17
다사499451,37.50426433,126.9337302,248,0,12,19
다사524454,37.50710051,126.9619948,97,7,15,20
다사513452,37.50524052,126.9495626,153,3,16,29
다사539422,37.47833402,126.9791662,253,0,7,14
다사503441,37.49527271,126.9383231,321,5,15,25
다사502458,37.51058981,126.9370769,232,0,7,12
다사479434,37.48883126,126.9112234,211,0,9,19
다사529429,37.48459294,126.9678117,240,6,14,19
