GID,위도,경도,생활인구수
다사586512,37.5596764,127.0318158,304
다사601499,37.54802523,127.0488696,361
다사599496,37.54531257,127.0466219,201
다사603494,37.5435272,127.0511607,105
다사604493,37.54263017,127.0522981,56
다사588522,37.56869863,127.0340241,186
다사601498,37.5471239,127.0488751,7
다사590507,37.55518763,127.0363726,835
다사609488,37.53814482,127.0579845,100
다사600499,37.5480209,127.0477376,356
다사597518,37.56513311,127.0442372,251
다사607496,37.54534699,127.0556779,153
다사570491,37.54067532,127.0138234,431
다사604487,37.53722217,127.0523304,216
다사611486,37.53635061,127.0602589,57
다사577507,37.55512892,127.0216547,92
다사603488,37.53811921,127.0511932,141
다사575509,37.55692238,127.0193788,50
다사590518,37.56510224,127.0363111,237
다사596498,37.54710214,127.043215,121
다사597501,37.54981051,127.0443305,19
다사610488,37.53814905,127.0591164,65
다사580506,37.55424131,127.0250568,236
다사570498,37.54698461,127.0137824,164
다사580499,37.54793201,127.0250969,129
다사578509,37.55693616,127.0227753,39
다사567490,37.53975997,127.0104335,78
다사583515,37.56236687,127.0284021,264
다사618502,37.55080119,127.0680987,183
다사599494,37.5435099,127.0466329,0
다사597491,37.5407972,127.0443854,343
다사608498,37.54715391,127.0567993,677
다사605496,37.54533845,127.0534139,29
다사618505,37.55350519,127.0680831,146
다사593518,37.56511553,127.039708,297
다사586505,37.55336711,127.0318553,264
다사570494,37.54337931,127.0138058,158
다사580502,37.550636,127.0250797,315
다사609506,37.55436881,127.0578887,71
다사591513,37.56060005,127.0374713,267
다사591506,37.55429075,127.0375103,322
다사603500,37.54893519,127.0511283,377
다사576498,37.54701239,127.0205745,109
다사589508,37.55608451,127.0352348,266
다사579521,37.56775664,127.0238387,253
다사575495,37.5443038,127.0194599,257
다사613494,37.54356969,127.0624805,272
다사599492,37.54170724,127.0466438,264
다사572497,37.54609259,127.0160523,220
다사572498,37.54699392,127.0160464,252
다사609500,37.54896082,127.0579206,113
다사613499,37.54807635,127.0624541,77
다사587516,37.5632862,127.0329255,582
다사587507,37.55517425,127.0329761,434
다사600487,37.53720492,127.0478029,256
다사614494,37.54357388,127.0636124,17
다사613500,37.54897769,127.0624489,7
다사596495,37.54439815,127.0432315,256
다사610497,37.54626105,127.0590686,0
다사598514,37.56153216,127.0453914,56
다사599502,37.55072055,127.0465892,188
다사603486,37.53631654,127.051204,408
다사612493,37.54266415,127.0613538,0
다사574506,37.55421379,127.0182641,418
다사601489,37.53901191,127.048924,339
다사606487,37.53723073,127.0545942,147
다사577508,37.55603025,127.0216489,229
다사586502,37.55066312,127.0318722,212
다사575501,37.54971177,127.0194251,68
다사602499,37.54802955,127.0500017,393
다사612513,37.5606908,127.0612481,12
다사587517,37.56418752,127.0329199,368
다사613513,37.560695,127.0623803,56
다사575493,37.54250115,127.0194714,295
다사576508,37.55602566,127.0205168,27
