대중교통,역(정류장)명,호선명,노선(수),지하철 여부(Y/N),버스 여부(Y/N),따릉이 여부(Y/N),X좌표,Y좌표,동 이름,GID,대여소번호,NODE_ID,ARS_ID,지번_주소,도로명_주소,일평균승차승객수,일평균하차승객수,일평균총승객수,월승차승객수,월하차승객수,월이용객수
버스,금호공원,,1,N,Y,N,127.0197742,37.5496508,금호동3가,11200111,,103900094,4599,서울 성동구 금호동3가 1265-51,서울특별시 성동구 금호산길 14 (금호동3가),9.73,63.87,73.6,292,1916,2208
버스,금호동벽산아파트,,3,N,Y,N,127.0256791,37.5511644,금호동1가,11200109,,103000050,4149,서울 성동구 금호동1가 1756-1,서울특별시 성동구 금호로 86 (금호동1가),139.5,102.28,241.78,12555,9205,21760
버스,금호베스트빌아파트노인정앞,,1,N,Y,N,127.0250695,37.56187332,하왕십리동,11200102,,103900270,4885,서울 성동구 하왕십리동 1052,"서울특별시 성동구 난계로 114-31 (하왕십리동, 금호 베스트빌)",20.43,27.47,47.9,613,824,1437
버스,금호사거리,,1,N,Y,N,127.0241853,37.54797844,금호동4가,11200112,,105000465,,서울 성동구 금호동4가 145,서울특별시 성동구 독서당로 316 (금호동4가),,,,,,
버스,금호사거리,,1,N,Y,N,127.0250025,37.54817651,금호동3가,11200111,,105000464,,서울 성동구 금호동3가 218-1,,,,,,,
버스,금호사거리,,1,N,Y,N,127.0250613,37.5481765,성동구,11200111,,103900010,4750,서울 성동구 금호동3가 218-1,,91.9,137.43,229.33,2757,4123,6880
버스,금호사거리,,3,N,Y,N,127.0259773,37.54946397,금호동2가,11200110,,103000053,4152,서울 성동구 금호동2가 1188-1,서울특별시 성동구 무수막길 14 (금호동2가),37.12,108.07,145.19,3341,9726,13067
버스,금호사거리,,1,N,Y,N,127.025272,37.548008,금호동4가,11200112,,103900070,4528,서울 성동구 금호동4가 116,서울특별시 성동구 독서당로 324-1 (금호동4가),53.57,104.6,158.17,1607,3138,4745
버스,금호사거리,,3,N,Y,N,127.0260631,37.54887914,금호동1가,11200109,,103000052,4151,서울 성동구 금호동1가 1801-3,서울특별시 성동구 금호로 62 (금호동1가),178.7,68.84,247.54,16083,6196,22279
버스,금호산입구,,1,N,Y,N,127.019575,37.556722,금호동2가,11200110,,103900031,4529,서울 성동구 금호동2가 1-4,,19.9,3.93,23.83,597,118,715
버스,금호삼성래미안,,1,N,Y,N,127.0269818,37.54787691,금호동4가,11200112,,105000463,,서울 성동구 금호동4가 96,서울특별시 성동구 독서당로 342 (금호동4가),,,,,,
버스,금호삼성래미안,,1,N,Y,N,127.0275354,37.54836158,금호동4가,11200112,,105000462,,서울 성동구 금호동4가 89-11,,,,,,,
버스,금호어린이집,,1,N,Y,N,127.018232,37.556743,금호동2가,11200110,,103900059,4684,서울 성동구 금호동2가 1,"서울특별시 성동구 금호로 173 (금호동2가, 신금호파크자이)",0.1,30.27,30.37,3,908,911
버스,금호어린이집,,1,N,Y,N,127.01862,37.556734,금호동2가,11200110,,103900068,4522,서울 성동구 금호동2가 산 9-1,서울특별시 성동구 금호산15길 15 (금호동2가),6.5,1.71,8.21,182,48,230
버스,금호역,,2,N,Y,N,127.0155079,37.54850311,금호동3가,11200111,,103000057,4156,서울 성동구 금호동3가 1583,,288.52,107.12,395.64,17311,6427,23738
버스,금호역,,2,N,Y,N,127.016267,37.547728,금호동4가,11200112,,103000056,4155,서울 성동구 금호동4가 1418-22,,238.73,503.87,742.6,14324,30232,44556
버스,금호역,,1,N,Y,N,127.0164273,37.54842402,금호동4가,11200112,,103900003,4764,서울 성동구 금호동4가 1445-1,,506.5,10,516.5,15195,300,15495
버스,금호역,,4,N,Y,N,127.0169909,37.54854922,금호동4가,11200112,,103900139,4762,서울 성동구 금호동3가 1395,서울특별시 성동구 장터길 9-1 (금호동3가),210.19,464.03,674.22,18917,41763,60680
버스,금호역.3호선,,2,N,Y,N,127.0166253,37.54829423,금호동4가,11200112,,103900002,4765,서울 성동구 금호동4가 1450,,649.5,71.83,721.33,19485,2155,21640
버스,금호역.두산상가경비실,,2,N,Y,N,127.0166208,37.54861301,금호동4가,11200112,,103900140,4763,서울 성동구 금호동3가 1331,"서울특별시 성동구 동호로 100 (금호동3가, 두산아파트)",199.27,115.83,315.1,5978,3475,9453
버스,금호정형외과,,1,N,Y,N,127.0204579,37.55408677,금호동2가,11200110,,103900184,4812,서울 성동구 금호동2가 455,서울특별시 성동구 금호로 147 (금호동2가),267.03,44.63,311.66,8011,1339,9350
버스,금호초등학교,,1,N,Y,N,127.0194943,37.55268843,금호동2가,11200110,,103900163,4741,서울 성동구 금호동2가 511,서울특별시 성동구 무수막길 69 (금호동2가),6.07,247.47,253.54,182,7424,7606
버스,논골.e편한세상금호114동,,2,N,Y,N,127.0246041,37.55519162,금호동1가,11200109,,103900124,4591,서울 성동구 금호동1가 1832,,27.13,294.47,321.6,814,8834,9648
버스,논골.금호벽산아파트.성동공유센터,,4,N,Y,N,127.025349,37.5555492,금호동1가,11200109,,103900029,4523,서울 성동구 금호동1가 168-298,,206.69,39.07,245.76,18602,3516,22118
버스,논골.대림아파트107동.금호동벽산아파트,,2,N,Y,N,127.0249544,37.5558964,행당동,11200107,,103900216,4846,서울 성동구 행당동 347,서울특별시 성동구 행당로 75 (행당동),4.2,215,219.2,126,6450,6576
버스,논골사거리,,1,N,Y,N,127.0248124,37.55531503,금호동1가,11200109,,103900076,4554,서울 성동구 금호동1가 710-2,,276.73,330.23,606.96,8302,9907,18209
버스,논골사거리,,1,N,Y,N,127.0247742,37.55612602,금호동1가,11200109,,103900100,4672,서울 성동구 금호동1가 168-322,,116.63,174.63,291.26,3499,5239,8738
버스,논골신협.대림아파트후문,,1,N,Y,N,127.0245189,37.55751195,금호동1가,11200109,,103900058,4669,서울 성동구 금호동1가 132-1,,153.03,310.23,463.26,4591,9307,13898
버스,논골신협.대림아파트후문,,2,N,Y,N,127.0245744,37.55770298,금호동1가,11200109,,105000454,4560,서울 성동구 금호동1가 132-1,,136.23,203.48,339.71,8174,12209,20383
버스,논골입구.성동공유센터,,1,N,Y,N,127.02557,37.55554,행당동,11200107,,103900050,4586,서울 성동구 행당동 346,서울특별시 성동구 행당로 76 (행당동),4.4,52.13,56.53,132,1564,1696
버스,뉴타운아파트,,7,N,Y,N,127.026968,37.564877,하왕십리동,11200102,,103000509,4105,서울 성동구 하왕십리동 873-1,,29.98,62,91.98,6295,13021,19316
버스,답십리역사거리,,5,N,Y,N,127.0543962,37.56544961,용답동,11200122,,103000001,4001,서울 성동구 용답동 127,서울특별시 성동구 용답길 86 (용답동),261.24,348.19,609.43,39186,52229,91415
