GID,위도,경도,생활인구수,가까운 지하철역,지하철역까지거리(m)
다사590509,37.55699029,127.0363614,58,왕십리,469.65
다사583512,37.55966289,127.0284192,610,행당,279.26
다사580510,37.55784662,127.025034,349,행당,396.82
다사573505,37.55330784,127.0171378,0,신금호,317.08
다사602494,37.54352289,127.0500288,8,뚝섬,467.49
다사580520,37.56685988,127.0249767,410,상왕십리,431.85
다사587501,37.54976628,127.0330099,157,행당,893.26
다사611500,37.54896927,127.0601848,10,성수,608.48
다사579499,37.54792746,127.0239648,69,금호,722.13
다사593510,37.55790491,127.0397524,25,한양대,362.03
다사585513,37.56057324,127.0306779,217,행당,379.25
다사607485,37.53543233,127.0557368,146,성수,1022.74
다사599490,37.53990458,127.0466547,76,서울숲역,454.69
다사569491,37.54067066,127.0126915,168,옥수,421
다사593516,37.56331288,127.0397191,547,왕십리,262.92
다사585507,37.55516527,127.0307118,190,행당,260.65
다사603490,37.53992187,127.0511824,29,성수,673.04
다사591524,37.57051464,127.03741,95,마장,693.27
다사594524,37.57052791,127.0408071,0,마장,529.97
다사579514,37.56144736,127.0238788,0,상왕십리,556.08
다사601514,37.56154519,127.0487881,465,용답,195.42
다사568491,37.54066598,127.0115595,221,옥수,518.15
다사576505,37.55332168,127.0205341,223,신금호,131.97
다사607486,37.53633366,127.0557314,208,성수,922.56
다사619505,37.55350933,127.0692153,158,신답,1438.77
다사590512,37.55969428,127.0363446,39,왕십리,178.9
다사568495,37.54427129,127.011536,157,금호,581.32
다사606500,37.54894806,127.0545245,215,성수,497.28
다사584502,37.55065413,127.029608,513,행당,738.74
다사582511,37.55875703,127.0272926,454,행당,252.2
다사609492,37.54175016,127.0579632,9,성수,364.53
다사584518,37.56507536,127.0295174,392,상왕십리,85.28
다사599495,37.54441124,127.0466274,243,서울숲역,189.02
다사606488,37.53813206,127.0545888,110,성수,732.7
다사613492,37.54176702,127.062491,7,성수,656.07
다사604514,37.56155812,127.0521849,209,용답,136.15
다사591521,37.56781066,127.0374267,99,마장,521.67
다사588518,37.56509333,127.0340465,165,왕십리,448.38
다사617504,37.55259971,127.0669562,66,성수,1312.09
다사584517,37.56417404,127.029523,177,상왕십리,68.11
다사588508,37.55608005,127.0341027,107,행당,429.2
다사601515,37.56244652,127.0487827,212,용답,185.03
다사586522,37.56868967,127.0317594,228,상왕십리,530.46
다사611487,37.53725194,127.0602536,33,성수,902.48
다사598522,37.56874278,127.0453476,43,마장,366.52
다사611485,37.53544927,127.0602642,17,성수,1088.19
다사574507,37.55511512,127.0182583,380,신금호,200.9
다사615496,37.54538072,127.0647339,6,성수,776.04
다사598495,37.54440688,127.0454954,154,서울숲역,107.23
다사617502,37.55079705,127.0669667,297,성수,1186.68
다사607497,37.54624832,127.0556726,459,성수,182.24
다사572501,37.5496979,127.016029,612,금호,160.34
다사575498,37.54700779,127.0194425,144,금호,351.62
다사576510,37.55782831,127.0205052,166,신금호,369.76
다사570495,37.54428063,127.0138,370,옥수,425.15
다사610494,37.54355706,127.0590845,0,성수,298.25
다사576507,37.55512433,127.0205226,24,신금호,69.78
다사572502,37.55059922,127.0160231,571,금호,259.96
다사610486,37.53634638,127.059127,179,성수,961.69
다사595508,37.55611106,127.0420278,215,한양대,140.19
다사599518,37.56514183,127.0465018,294,마장,331.92
다사585512,37.55967191,127.0306836,390,행당,284.53
다사585501,37.5497573,127.0307458,86,행당,845.75
다사599512,37.55973385,127.0465346,563,한양대,440.85
다사600489,37.53900758,127.0477921,126,서울숲역,587.68
다사616496,37.54538489,127.0658659,212,성수,875.37
다사586507,37.55516977,127.031844,402,행당,315.12
다사595515,37.56242036,127.0419892,288,마장,413.61
다사582517,37.56416499,127.0272585,380,상왕십리,147.13
다사602490,37.53991756,127.0500504,21,서울숲역,631.62
다사583501,37.54974828,127.0284816,96,행당,844
다사578508,37.55603483,127.0227811,187,신금호,270.04
다사583522,37.56867615,127.0283623,284,상왕십리,466.09
다사620506,37.55441479,127.0703422,213,신답,1461.89
다사593517,37.56421421,127.0397136,514,왕십리,329.99
다사605497,37.54623978,127.0534086,0,성수,289.2
다사586519,37.56598569,127.0317763,236,상왕십리,304.42
다사590522,37.56870755,127.0362888,65,마장,654.19
다사578495,37.54431757,127.0228558,314,옥수,572.24
다사606493,37.54263873,127.054562,179,성수,254.21
다사611492,37.54175861,127.0602271,0,성수,491.75
다사582519,37.56596764,127.0272471,158,상왕십리,216.79
다사572500,37.54879657,127.0160348,104,금호,62.66
다사607517,37.56427494,127.0555655,144,신답,319.43
다사590521,37.56780622,127.0362944,129,마장,615.27
다사583520,37.5668735,127.0283737,175,상왕십리,267.11
다사583500,37.54884695,127.0284873,255,행당,943.69
다사589514,37.56149248,127.0352012,173,왕십리,45.74
다사598499,37.54801221,127.0454735,31,뚝섬,194.42
다사602517,37.5642535,127.0499041,28,용답,245.22
다사591504,37.55248809,127.0375214,105,한양대,696.53
다사595517,37.56422301,127.0419781,224,마장,221.14
다사604492,37.54172883,127.0523035,313,성수,457.34
다사585520,37.56688252,127.0306383,86,상왕십리,306.9
다사605517,37.5642664,127.053301,277,답십리,290.93
다사615500,37.54898605,127.064713,322,성수,909.5
다사571499,37.5478906,127.0149086,194,금호,87.98
다사594519,37.56602127,127.0408348,373,마장,183.94
다사575502,37.5506131,127.0194194,135,금호,413.03
다사590504,37.55248365,127.0363893,500,한양대,775.13
다사603520,37.56696179,127.0510202,19,답십리,145.24
다사605500,37.54894378,127.0533924,351,성수,531.47
