GID,gid위도,gid경도,생활인구수,동 이름,gid 버스정류장명,gid버스정류장위도,gid버스정류장경도,NODE_ID
다사509458,37.51062729,126.944997,309,노량진동,강남교회.오거리,37.510246,126.944788,119900120
다사509458,37.51062729,126.944997,309,노량진동,강남교회.오거리,37.510278,126.944929,119900162
다사526448,37.50170284,126.9642962,354,흑석동,푸르지오후문,37.501598,126.964318,119900295
다사497460,37.51236535,126.9314059,504,대방동,현대아파트,37.512343,126.931932,119900230
다사516451,37.50435497,126.9529633,421,상도동,중앙대후문,37.50455,126.953431,119000110
다사502451,37.50428055,126.9371242,162,상도동,국민은행,37.50442,126.937569,119900141
다사509450,37.5034167,126.9450504,273,상도동,동원베네스트,37.503206,126.944764,119900088
다사509450,37.5034167,126.9450504,273,상도동,동원베네스트,37.503454,126.945175,119900194
다사510455,37.50792863,126.9461485,115,노량진동,신동아상가,37.50813,126.946074,119900103
다사510455,37.50792863,126.9461485,115,노량진동,신동아상가,37.507998,126.946325,119900148
다사517450,37.50345888,126.9541012,252,상도동,상도SH빌아파트상도팰리스후문,37.503142,126.954293,119000136
다사523453,37.50619403,126.9608699,0,흑석동,중앙대병원후문.흑석시장,37.506463,126.96127,119900097
다사498448,37.50155494,126.9326193,116,상도동,쌍용아파트,37.501504,126.932986,119900130
다사507443,37.49709678,126.9428346,84,상도동,현진빌라.고마트,37.497211,126.943002,119900106
다사507443,37.49709678,126.9428346,84,상도동,롯데캐슬비엔,37.496843,126.943091,119900054
다사507455,37.50791267,126.9427542,7,노량진동,신동아아파트701동앞,37.507502,126.942972,119900099
다사516444,37.49804569,126.9530093,252,상도동,상도1동주민센터.상도3차래미안,37.49822,126.953262,119000140
다사510448,37.50161936,126.9461951,269,상도동,밤골.상도역롯데캐슬파크엘,37.50196,126.945916,119900109
다사510448,37.50161936,126.9461951,269,상도동,밤골터널.상도역롯데캐슬파크엘,37.501866,126.946013,119900031
다사536433,37.48823366,126.975704,587,사당동,삼일초등학교앞,37.488106,126.975663,119900233
다사536433,37.48823366,126.975704,587,사당동,우성201동.극동112동,37.488171,126.976021,119900174
다사483443,37.49696561,126.9156847,14,신대방동,보라매공원,37.496899,126.916221,119000004
다사506448,37.50159806,126.9416698,252,상도동,상도2동아이파크.포스코더샵아파트,37.501514,126.941136,119000107
다사515456,37.50885634,126.951799,146,본동,한신아파트,37.50874,126.951259,119900124
다사515456,37.50885634,126.951799,146,본동,신동아상가,37.50876,126.951407,119900231
다사506447,37.50069674,126.9416765,258,상도동,현대아이파크,37.500889,126.941603,119900047
다사526434,37.48908425,126.9643864,133,사당동,신남성초교후문,37.489028,126.9646,119900049
다사517452,37.50526153,126.9540881,51,흑석동,중앙대후문,37.505013,126.953982,119900105
다사516443,37.49714436,126.9530159,100,상도동,숭실대입구역,37.496923,126.9528,119000071
다사527451,37.50441194,126.9654083,91,흑석동,흑석한강푸르지오,37.504296,126.965352,119900293
다사500452,37.50517107,126.9348547,405,상도동,삼성래미안.동작청소년문화의집,37.505536,126.934817,119900152
다사541428,37.48375196,126.9813908,280,사당동,이수시너스.이수역7번출구,37.483918,126.981878,119900044
다사506452,37.50520335,126.941643,311,상도동,상도감리교회.보건소,37.505495,126.941312,119900291
다사506452,37.50520335,126.941643,311,상도동,상도감리교회,37.505491,126.941543,119900172
다사506452,37.50520335,126.941643,311,상도동,상도2동주민센터,37.505053,126.941783,119900189
다사507444,37.49799811,126.9428279,392,상도동,상도4동약수맨션,37.497959,126.943357,119000131
다사505446,37.49979006,126.9405519,246,상도동,화성목욕탕,37.499775,126.940666,119900135
다사505446,37.49979006,126.9405519,246,상도동,화성목욕탕,37.499627,126.940667,119900058
다사517447,37.5007549,126.9541209,397,상도동,상도3차삼성래미안후문,37.501055,126.953823,119000137
다사528426,37.48188385,126.9666999,151,사당동,동작고교,37.481822,126.966429,119900261
다사528426,37.48188385,126.9666999,151,사당동,동작고등학교,37.481572,126.966444,119900198
다사506461,37.51331526,126.9415825,29,노량진동,노량진역,37.513724,126.941454,119900149
다사506461,37.51331526,126.9415825,29,노량진동,노량진역3번출구,37.513495,126.941878,119000024
다사488444,37.49789477,126.9213339,224,신대방동,벽산아파트,37.497733,126.921827,119900308
다사512454,37.50703789,126.9484179,393,노량진동,건영아파트,37.506971,126.948004,119900175
다사535435,37.49003129,126.9745603,310,사당동,극동아파트110동,37.490364,126.974672,119900257
다사498442,37.496147,126.9326602,302,상도동,구동사무소,37.49611,126.93243,119900029
다사488446,37.49969742,126.92132,32,대방동,서울공업고등학교,37.499961,126.921571,119000051
다사511451,37.50432863,126.9473065,178,상도동,상도노빌리티아파트,37.504327,126.946868,119000062
다사523455,37.50799668,126.9608569,66,흑석동,중앙대병원,37.50769,126.960733,119900033
다사523455,37.50799668,126.9608569,66,흑석동,중앙대학교,37.508167,126.961323,119000101
다사532429,37.48460817,126.9712049,232,사당동,두산위브아파트,37.484878,126.970876,119900280
다사532429,37.48460817,126.9712049,232,사당동,남성역,37.484588,126.971093,119000086
다사523459,37.51160198,126.960831,25,흑석동,흑석동효사정앞,37.511554,126.960745,119000030
다사523459,37.51160198,126.960831,25,흑석동,효사정앞,37.511507,126.960862,119000199
다사523459,37.51160198,126.960831,25,흑석동,흑석동효사정앞,37.511573,126.961238,119000031
다사523459,37.51160198,126.960831,25,흑석동,효사정앞,37.511537,126.961318,119000200
다사535432,37.4873273,126.9745792,185,사당동,동작삼일수영장,37.487177,126.974787,119900178
다사535432,37.4873273,126.9745792,185,사당동,동작삼일수영장,37.487394,126.974798,119900039
다사517458,37.51066947,126.9540487,159,본동,본동초등학교,37.510727,126.953555,119900164
다사517446,37.49985357,126.9541275,298,상도동,래미안상도3차중문,37.499874,126.953869,119000317
다사498440,37.49434436,126.9326738,381,상도동,선재유통,37.494555,126.932755,119900221
