GID,위도,경도,생활인구수,지하철역까지거리_m_,격자_내_정류장수,법정동명,법정동_주민등록인구수,반경150m_정류장수,반경300m_정류장수,반경400m_정류장수,노선_수_,인가대수_대__합계_,배차간격_분__평균_,최소배차_분__평균_,최대배차_분__평균_,총하차인원_lightgbm
다사480437,37.49154086,126.9123333,522,453.29,0,신대방동,45025,0,1,6,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,13583.803590176172
다사516454,37.50705894,126.9529435,353,627.37,0,상도동,114034,2,14,20,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,6801.255361470082
다사524438,37.49267928,126.9620982,539,844.98,0,사당동,95821,1,5,9,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,13731.705980281376
다사508449,37.50251006,126.9439258,313,356.26,0,상도동,114034,1,14,27,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,7414.841650693397
다사527432,37.48728671,126.9655303,436,570.7,0,사당동,95821,5,13,20,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,8104.91637454362
다사515443,37.49713912,126.9518846,269,183.92,0,상도동,114034,1,9,10,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,13046.782986169308
다사503462,37.51420048,126.9381813,452,587.39,0,노량진동,30270,2,8,12,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,12626.02570563173
다사483442,37.49606429,126.9156917,284,215.25,0,신대방동,45025,4,16,20,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,5378.600851119324
다사507453,37.50611002,126.9427676,525,358.85,0,노량진동,30270,7,14,28,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,7336.839134489537
다사511459,37.51153922,126.9472533,363,332.26,0,노량진동,30270,0,7,19,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,14596.32975663979
다사508448,37.50160873,126.9439324,466,377.88,0,상도동,114034,1,11,23,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,7184.609634474384
다사490442,37.49610319,126.9236103,346,346.83,0,신대방동,45025,0,4,11,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,14095.366274619577
다사498450,37.50335758,126.9326056,348,560.07,0,상도동,114034,0,7,17,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,18497.120685768637
다사523457,37.50979933,126.9608439,484,246.97,0,흑석동,30047,1,12,15,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,12929.059543917601
다사499446,37.49975772,126.9337642,317,489.29,0,상도동,114034,3,12,19,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,8743.135064511485
다사499450,37.50336301,126.933737,308,494.72,0,상도동,114034,1,12,20,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,9027.056308520176
다사481435,37.48974384,126.9134786,252,246.35,0,신대방동,45025,0,3,12,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,14386.266835050923
다사493445,37.49882367,126.9269833,811,147.42,0,신대방동,45025,8,16,20,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,5126.768595161906
다사509446,37.49981141,126.9450771,278,416.99,0,상도동,114034,2,9,20,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,9247.05649996393
다사539423,37.47923535,126.97916,380,371.0,0,사당동,95821,0,7,9,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,17566.163675144777
