,기준_날짜,행정동_ID,승객_수,승객_수_00시,승객_수_01시,승객_수_02시,승객_수_03시,승객_수_04시,승객_수_05시,승객_수_06시,승객_수_07시,승객_수_08시,승객_수_09시,승객_수_10시,승객_수_11시,승객_수_12시,승객_수_13시,승객_수_14시,승객_수_15시,승객_수_16시,승객_수_17시,승객_수_18시,승객_수_19시,승객_수_20시,승객_수_21시,승객_수_22시,승객_수_23시,행정동_명칭,자치구_명칭,시도_명칭
61,2025-05-10,11200720,53324.0,206.0,23.0,23.0,7.0,87.0,944.0,1095.0,1553.0,2511.0,2858.0,2880.0,3131.0,3538.0,3609.0,3286.0,3406.0,4046.0,4405.0,3545.0,2789.0,2552.0,2861.0,2512.0,1457.0,노량진1동,동작구,서울
62,2025-05-10,11200710,20528.0,80.0,0.0,0.0,0.0,8.0,291.0,371.0,638.0,893.0,1232.0,1317.0,1471.0,1565.0,1569.0,1529.0,1455.0,1477.0,1494.0,1062.0,903.0,906.0,888.0,849.0,530.0,흑석동,동작구,서울
63,2025-05-10,11200700,13185.0,47.0,8.0,4.0,6.0,36.0,151.0,260.0,412.0,697.0,895.0,870.0,890.0,989.0,1089.0,986.0,995.0,992.0,1060.0,681.0,563.0,540.0,461.0,338.0,215.0,신대방2동,동작구,서울
64,2025-05-10,11200690,5332.0,27.0,1.0,1.0,1.0,35.0,108.0,92.0,214.0,352.0,442.0,372.0,571.0,619.0,434.0,295.0,278.0,348.0,288.0,198.0,174.0,120.0,170.0,135.0,57.0,신대방1동,동작구,서울
65,2025-05-10,11200680,35534.0,64.0,2.0,0.0,1.0,14.0,584.0,892.0,1290.0,2253.0,2757.0,2479.0,2588.0,2771.0,2816.0,2377.0,2488.0,2698.0,2428.0,1781.0,1318.0,1263.0,1155.0,991.0,524.0,대방동,동작구,서울
66,2025-05-10,11200670,3292.0,0.0,2.0,1.0,1.0,3.0,46.0,111.0,125.0,224.0,299.0,319.0,311.0,256.0,234.0,218.0,203.0,192.0,274.0,143.0,99.0,67.0,100.0,45.0,19.0,사당5동,동작구,서울
67,2025-05-10,11200660,9477.0,0.0,0.0,0.0,1.0,0.0,167.0,333.0,474.0,736.0,866.0,810.0,814.0,778.0,685.0,689.0,527.0,596.0,558.0,381.0,252.0,260.0,243.0,227.0,80.0,사당4동,동작구,서울
68,2025-05-10,11200650,5289.0,11.0,10.0,9.0,3.0,0.0,77.0,133.0,170.0,319.0,423.0,384.0,399.0,398.0,394.0,372.0,329.0,347.0,384.0,318.0,246.0,174.0,171.0,143.0,75.0,사당3동,동작구,서울
69,2025-05-10,11200630,7800.0,268.0,83.0,46.0,35.0,36.0,86.0,142.0,185.0,294.0,347.0,334.0,398.0,398.0,470.0,434.0,460.0,502.0,488.0,466.0,464.0,457.0,498.0,500.0,409.0,사당1동,동작구,서울
70,2025-05-10,11200560,5813.0,9.0,0.0,0.0,0.0,12.0,133.0,170.0,280.0,443.0,513.0,480.0,546.0,565.0,395.0,413.0,348.0,392.0,322.0,216.0,208.0,115.0,131.0,99.0,23.0,상도4동,동작구,서울
71,2025-05-10,11200550,7463.0,23.0,6.0,4.0,4.0,38.0,105.0,199.0,308.0,428.0,616.0,544.0,506.0,593.0,529.0,519.0,525.0,468.0,468.0,413.0,321.0,284.0,259.0,220.0,83.0,상도3동,동작구,서울
72,2025-05-10,11200540,16211.0,44.0,14.0,4.0,10.0,38.0,296.0,414.0,620.0,990.0,1156.0,1139.0,1239.0,1311.0,1254.0,1162.0,1096.0,1175.0,1113.0,834.0,582.0,529.0,568.0,415.0,208.0,상도2동,동작구,서울
73,2025-05-10,11200530,44266.0,118.0,16.0,14.0,6.0,57.0,566.0,1009.0,1370.0,2536.0,2975.0,3026.0,3184.0,3732.0,3474.0,3143.0,3207.0,2959.0,3116.0,2496.0,1861.0,1543.0,1545.0,1404.0,909.0,상도1동,동작구,서울
74,2025-05-10,11200520,11977.0,138.0,46.0,44.0,30.0,55.0,124.0,218.0,277.0,461.0,526.0,573.0,606.0,743.0,756.0,716.0,719.0,880.0,986.0,841.0,691.0,643.0,760.0,761.0,383.0,노량진2동,동작구,서울
75,2025-05-09,11200730,59669.0,377.0,45.0,19.0,9.0,15.0,535.0,1584.0,4825.0,6021.0,3601.0,2516.0,2385.0,2526.0,2834.0,2682.0,3288.0,3582.0,4742.0,5232.0,3418.0,2676.0,2746.0,2608.0,1403.0,사당2동,동작구,서울
76,2025-05-09,11200720,68935.0,388.0,29.0,22.0,11.0,85.0,1359.0,2316.0,6186.0,8184.0,4362.0,2708.0,2618.0,2639.0,2814.0,2736.0,2864.0,3618.0,4836.0,5713.0,3803.0,2984.0,3261.0,3537.0,1862.0,노량진1동,동작구,서울
77,2025-05-09,11200710,34340.0,165.0,0.0,0.0,0.0,19.0,408.0,848.0,2702.0,2730.0,1770.0,1624.0,1707.0,1789.0,1547.0,2073.0,2434.0,2464.0,2753.0,2595.0,1725.0,1395.0,1446.0,1310.0,836.0,흑석동,동작구,서울
78,2025-05-09,11200700,22802.0,72.0,8.0,9.0,11.0,58.0,235.0,555.0,1686.0,1864.0,1288.0,1005.0,1078.0,1054.0,992.0,1188.0,1671.0,1611.0,2544.0,2684.0,994.0,790.0,632.0,511.0,262.0,신대방2동,동작구,서울
79,2025-05-09,11200690,7226.0,45.0,0.0,0.0,1.0,53.0,148.0,255.0,870.0,789.0,548.0,411.0,351.0,350.0,350.0,324.0,366.0,385.0,499.0,431.0,268.0,172.0,163.0,174.0,273.0,신대방1동,동작구,서울
80,2025-05-09,11200680,52186.0,149.0,3.0,0.0,0.0,49.0,804.0,1876.0,5724.0,7616.0,4117.0,2456.0,2183.0,2288.0,2225.0,2249.0,2975.0,2973.0,3304.0,3944.0,2229.0,1630.0,1415.0,1319.0,658.0,대방동,동작구,서울
81,2025-05-09,11200670,5030.0,0.0,4.0,1.0,4.0,16.0,62.0,266.0,709.0,686.0,433.0,289.0,219.0,216.0,195.0,235.0,321.0,324.0,285.0,258.0,180.0,133.0,90.0,65.0,39.0,사당5동,동작구,서울
82,2025-05-09,11200660,14123.0,32.0,0.0,0.0,1.0,2.0,255.0,655.0,1845.0,2582.0,1475.0,760.0,631.0,564.0,662.0,542.0,555.0,643.0,694.0,825.0,443.0,352.0,295.0,196.0,114.0,사당4동,동작구,서울
83,2025-05-09,11200650,7405.0,29.0,10.0,3.0,1.0,0.0,99.0,307.0,727.0,812.0,486.0,393.0,429.0,336.0,345.0,365.0,441.0,423.0,492.0,515.0,402.0,271.0,237.0,182.0,100.0,사당3동,동작구,서울
84,2025-05-09,11200630,10033.0,183.0,117.0,47.0,46.0,31.0,116.0,254.0,684.0,858.0,508.0,351.0,356.0,348.0,362.0,424.0,469.0,562.0,610.0,752.0,680.0,547.0,604.0,625.0,499.0,사당1동,동작구,서울
85,2025-05-09,11200560,8188.0,11.0,0.0,0.0,0.0,28.0,186.0,459.0,1148.0,1235.0,711.0,438.0,397.0,416.0,469.0,320.0,347.0,396.0,398.0,428.0,282.0,225.0,151.0,106.0,37.0,상도4동,동작구,서울
86,2025-05-09,11200550,9537.0,34.0,4.0,8.0,8.0,60.0,160.0,409.0,1089.0,1053.0,752.0,521.0,378.0,436.0,504.0,508.0,495.0,504.0,562.0,527.0,465.0,352.0,319.0,265.0,124.0,상도3동,동작구,서울
87,2025-05-09,11200540,23351.0,102.0,19.0,6.0,14.0,58.0,384.0,929.0,2413.0,3056.0,1683.0,1192.0,1156.0,1131.0,1035.0,1026.0,1192.0,1361.0,1523.0,1648.0,1045.0,711.0,726.0,613.0,328.0,상도2동,동작구,서울
88,2025-05-09,11200530,68105.0,291.0,19.0,14.0,15.0,111.0,898.0,2136.0,5941.0,7210.0,4273.0,3018.0,2976.0,3372.0,3278.0,3683.0,3878.0,4541.0,5361.0,5300.0,3330.0,2565.0,2431.0,2217.0,1247.0,상도1동,동작구,서울
89,2025-05-09,11200520,15903.0,190.0,63.0,35.0,30.0,83.0,175.0,327.0,819.0,1097.0,721.0,572.0,543.0,656.0,699.0,751.0,876.0,946.0,1197.0,1637.0,1170.0,825.0,869.0,1099.0,523.0,노량진2동,동작구,서울
90,2025-05-08,11200730,61600.0,188.0,31.0,10.0,3.0,23.0,585.0,1670.0,5019.0,5994.0,3536.0,2580.0,3253.0,2920.0,2978.0,2821.0,3302.0,4010.0,4853.0,5777.0,3510.0,2993.0,2647.0,2011.0,886.0,사당2동,동작구,서울
91,2025-05-08,11200720,70364.0,228.0,29.0,15.0,8.0,86.0,1443.0,2438.0,6584.0,8473.0,4405.0,2829.0,2656.0,2787.0,2962.0,2739.0,2824.0,3361.0,5015.0,5997.0,4028.0,3261.0,3429.0,3433.0,1334.0,노량진1동,동작구,서울
92,2025-05-08,11200710,36686.0,154.0,0.0,0.0,0.0,13.0,442.0,991.0,2665.0,2749.0,1862.0,1599.0,1647.0,1688.0,1892.0,1963.0,2280.0,2823.0,3505.0,2947.0,2019.0,1710.0,1564.0,1442.0,731.0,흑석동,동작구,서울
93,2025-05-08,11200700,23948.0,54.0,9.0,9.0,12.0,66.0,247.0,584.0,1711.0,1876.0,1314.0,1163.0,1096.0,1110.0,1056.0,1244.0,1455.0,1769.0,2464.0,2952.0,1218.0,947.0,760.0,620.0,212.0,신대방2동,동작구,서울
94,2025-05-08,11200690,7200.0,15.0,1.0,0.0,0.0,49.0,178.0,296.0,864.0,804.0,504.0,431.0,371.0,367.0,327.0,305.0,388.0,401.0,529.0,462.0,308.0,189.0,185.0,157.0,69.0,신대방1동,동작구,서울
95,2025-05-08,11200680,53967.0,69.0,1.0,1.0,1.0,39.0,860.0,2023.0,5932.0,7745.0,4281.0,2612.0,2395.0,2507.0,2263.0,2275.0,2521.0,3495.0,3615.0,4035.0,2380.0,1705.0,1563.0,1186.0,463.0,대방동,동작구,서울
96,2025-05-08,11200670,4867.0,1.0,2.0,4.0,3.0,6.0,88.0,249.0,689.0,651.0,426.0,227.0,229.0,190.0,194.0,213.0,232.0,372.0,253.0,277.0,167.0,161.0,111.0,96.0,26.0,사당5동,동작구,서울
