GID,위도,경도,생활인구수,지하철역까지거리(m),격자_내_정류장수,법정동명,법정동_주민등록인구수,반경150m_정류장수,반경300m_정류장수,반경400m_정류장수,노선(수),"인가대수(대, 합계)","배차간격(분, 평균)","최소배차(분, 평균)","최대배차(분, 평균)",총하차인원_lr
다사537433,37.48823867,126.9768352,260,483.14,0,사당동,95821,4,10,15,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,13009.067109206162
다사494448,37.50153312,126.928094,397,202.24,0,대방동,34112,1,9,17,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,9969.761204860019
다사521451,37.50438103,126.9586201,458,672.6,0,흑석동,30047,0,11,14,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,6606.905739332402
다사482440,37.49425605,126.9145745,544,344.25,0,신대방동,45025,4,10,19,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,9854.228167871099
다사508453,37.50611535,126.943899,455,452.55,0,상도동,114034,2,19,32,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,7173.549298432556
다사534437,37.49182892,126.9734165,510,819.74,0,사당동,95821,2,7,12,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,8692.390063503792
다사503459,37.51149652,126.9382016,284,638.83,0,노량진동,30270,0,9,14,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,7800.15150622462
다사533436,37.49092254,126.9722916,443,701.07,0,사당동,95821,2,10,12,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,9989.76583927484
다사514448,37.50164049,126.9507204,416,275.87,0,상도1동,9802,1,7,19,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,8133.061647191609
다사495444,37.4979333,126.9292528,315,218.34,0,신대방동,45025,7,15,26,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,12316.450063114842
다사517444,37.49805092,126.9541406,510,204.03,0,상도동,114034,2,10,12,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,13361.17374496335
다사511447,37.50072334,126.947333,467,236.14,0,상도동,114034,0,9,16,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,11061.656331169617
