GID,위도,경도,생활인구수,지하철역까지거리_m_,격자_내_정류장수,법정동명,법정동_주민등록인구수,반경150m_정류장수,반경300m_정류장수,반경400m_정류장수,노선_수_,인가대수_대__합계_,배차간격_분__평균_,최소배차_분__평균_,최대배차_분__평균_,총승차인원
다사567492,37.54156262,127.0104217,249.0,606.79,0.0,옥수동,25184,7,17,23,1,5,17.47,10.32,24.82,852.7025140566528
다사618504,37.55260386,127.0680883,268.0,1387.61,0.0,송정동,9477,2,8,11,0,5,16.33,11.51,12.54,4401.393176051548
다사620508,37.55621745,127.0703319,370.0,1364.01,0.0,송정동,9477,1,4,4,7,1,15.27,8.97,19.6,1861.3889482908296
다사599488,37.53810191,127.0466656,268.0,644.81,0.0,성수동1가,27925,2,4,11,4,30,16.78,13.06,27.04,10512.351624505936
다사599487,37.53720058,127.0466711,225.0,741.91,0.0,성수동1가,27925,0,4,4,1,31,19.17,13.07,18.66,5194.723372526083
다사588505,37.55337606,127.0341195,298.0,597.67,0.0,응봉동,14593,6,28,37,2,2,13.18,13.43,20.93,5562.329032365342
다사598489,37.53899889,127.0455282,274.0,526.3,0.0,성수동1가,27925,2,5,11,2,36,20.43,10.89,10.08,10994.516377043003
다사589505,37.55338053,127.0352516,785.0,669.57,0.0,응봉동,14593,1,22,34,0,0,20.3,4.95,18.15,2585.245842384576
다사581505,37.55334453,127.0261947,583.0,526.43,0.0,금호동1가,14500,8,31,44,3,51,15.48,11.66,23.37,3970.017540022667
다사582501,37.54974376,127.0273496,301.0,809.43,0.0,금호동1가,14500,2,21,34,0,38,18.49,9.9,19.76,96.32800273511295
다사587500,37.54886495,127.0330155,217.0,987.99,0.0,응봉동,14593,2,11,15,1,104,18.05,9.93,19.18,2588.298731637279
다사588523,37.56959996,127.0340185,212.0,725.84,0.0,마장동,21338,1,1,13,1,27,20.77,14.16,21.6,4949.632959438383
다사582523,37.56957294,127.0272243,209.0,582.05,0.0,하왕십리동,29847,3,9,17,0,18,19.5,12.64,20.69,4299.697245029265
다사580524,37.57046518,127.0249538,868.0,747.42,0.0,상왕십리동,3685,3,8,13,0,2,17.32,4.21,17.34,4040.076045176095
다사589506,37.55428186,127.035246,285.0,608.75,0.0,응봉동,14593,7,24,35,2,1,21.57,9.05,17.22,2526.8277973930985
다사581504,37.5524432,127.0262004,360.0,560.08,0.0,금호동1가,14500,12,26,40,0,16,8.2,11.48,18.13,4883.715198923039
다사603492,37.54172454,127.0511716,216.0,533.08,0.0,성수동2가,23518,0,13,17,5,16,22.28,8.71,16.78,5227.694928325233
다사584502,37.55065413,127.029608,513.0,738.74,0.0,응봉동,14593,7,24,39,11,0,13.7,11.01,18.9,24511.357228129953
다사586522,37.56868967,127.0317594,228.0,530.46,0.0,하왕십리동,29847,2,8,12,4,65,19.54,14.3,23.62,8821.869930260124
다사617502,37.55079705,127.0669667,297.0,1186.68,0.0,송정동,9477,3,8,16,1,1,6.91,5.8,18.48,4419.963819077377
다사616496,37.54538489,127.0658659,212.0,875.37,0.0,화양동,23022,3,8,14,9,123,13.04,10.81,17.16,27299.09534071838
다사620506,37.55441479,127.0703422,213.0,1461.89,0.0,송정동,9477,2,5,11,2,5,16.38,14.9,20.55,5039.402816317025
다사578495,37.54431757,127.0228558,314.0,572.24,0.0,금호동4가,14021,2,4,10,4,0,17.02,9.93,25.3,5561.277649305301
다사583500,37.54884695,127.0284873,255.0,943.69,0.0,금호동1가,14500,3,17,29,0,93,21.75,9.62,19.69,-2019.2488902618552
다사615500,37.54898605,127.064713,322.0,909.5,0.0,송정동,9477,2,9,15,8,1,10.47,7.11,16.06,14673.84907408318
다사590504,37.55248365,127.0363893,500.0,775.13,0.0,응봉동,14593,2,15,23,7,21,11.14,8.83,14.06,11972.979314741524
다사605500,37.54894378,127.0533924,351.0,531.47,0.0,성수동2가,23518,0,2,7,18,8,19.14,18.05,20.36,19413.6447541418
다사619512,37.55981865,127.0691789,478.0,1145.79,0.0,용답동,11989,0,3,5,0,84,14.99,9.78,23.58,4809.957538797286
다사580523,37.56956385,127.0249596,312.0,659.89,0.0,상왕십리동,3685,3,8,16,0,43,14.47,14.31,10.07,9219.833030432046
다사616500,37.54899022,127.065845,269.0,995.6,0.0,송정동,9477,3,11,16,12,73,14.58,14.49,24.93,27075.541040627762
다사604485,37.5354195,127.0523412,288.0,1073.1,0.0,성수동2가,23518,0,3,6,3,16,12.34,9.43,19.68,4267.264017642587
다사577501,37.54972096,127.0216893,299.0,543.8,0.0,금호동3가,11670,0,15,29,2,1,15.3,15.53,16.81,6811.523322765729
다사620507,37.55531612,127.070337,611.0,1410.24,0.0,송정동,9477,2,2,8,0,1,12.64,12.7,14.39,2147.449026564597
다사609487,37.53724349,127.0579898,258.0,839.97,0.0,성수동2가,23518,6,17,19,1,112,21.54,18.1,14.74,4392.547783660803
